Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
Accidentologie en Île-de-France (2019-2023),Bases de données annuelles des accidents corporels de la circulation routière - Années de 2005 à 2022,https://www.data.gouv.fr/fr/datasets/bases-de-donnees-annuelles-des-accidents-corporels-de-la-circulation-routiere-annees-de-2005-a-2022/,Transports et mobilité,Visualisation,Loic Bertrand,https://www.data.gouv.fr/fr/reuses/accidentologie-en-ile-de-france-2019-2023/,No,,No
Service – Territoires similaires,Population,https://www.data.gouv.fr/fr/datasets/population/,Environnement et énergie,Application,Enedis,https://www.data.gouv.fr/fr/reuses/service-territoires-similaires/,No,,Yes
Service – Bilan de mon territoire,Population,https://www.data.gouv.fr/fr/datasets/population/,Environnement et énergie,Application,,https://www.data.gouv.fr/fr/reuses/service-bilan-de-mon-territoire/,No,,No
pynsee python package - tools to easily search and download data from INSEE and IGN,Population,https://www.data.gouv.fr/fr/datasets/population/,Autres,Application,,https://www.data.gouv.fr/fr/reuses/pynsee-python-package-tools-to-easily-search-and-download-data-from-insee-and-ign/,No,,No
Datavisualisation sur le logement vacant en France,Population,https://www.data.gouv.fr/fr/datasets/population/,Logement et urbanisme,Visualisation,,https://www.data.gouv.fr/fr/reuses/datavisualisation-sur-le-logement-vacant-en-france/,No,,No
Popularité des communes sur Wikipedia,Population,https://www.data.gouv.fr/fr/datasets/population/,Politique et vie publique,Visualisation,,https://www.data.gouv.fr/fr/reuses/popularite-des-communes-sur-wikipedia/,No,,No
Visualiser les inégalités territoriales et sociales de l'accès au sport en France,Population,https://www.data.gouv.fr/fr/datasets/population/,Culture et loisirs,Application,Charles de Valois,https://www.data.gouv.fr/fr/reuses/visualiser-les-inegalites-territoriales-et-sociales-de-lacces-au-sport-en-france/,No,,No
Structure de la population de votre territoire,Population,https://www.data.gouv.fr/fr/datasets/population/,Société et démographie,Visualisation,Koumoul,https://www.data.gouv.fr/fr/reuses/structure-de-la-population-de-votre-territoire/,No,,No
Que possèdent l'État et les collectivités dans votre commune ?,Fichiers des locaux et des parcelles des personnes morales,https://www.data.gouv.fr/fr/datasets/fichiers-des-locaux-et-des-parcelles-des-personnes-morales/?reuses_page=2#community-reuses,Logement et urbanisme,Article de presse,,https://www.data.gouv.fr/fr/reuses/dans-les-grandes-villes-on-observe-la-mosaique-que-forment-les-differents-types-de-biens-publics-fig-data-accueilactualite-reserve-aux-abonnes-que-possedent-letat-et-les-collectivites-dans-votre-commune/,No,,Yes
Carte des parcelles des personnes morales - MAJIC,Fichiers des locaux et des parcelles des personnes morales,https://www.data.gouv.fr/fr/datasets/fichiers-des-locaux-et-des-parcelles-des-personnes-morales/?reuses_page=2#community-reuses,Logement et urbanisme,Visualisation,,https://www.data.gouv.fr/fr/reuses/carte-des-parcelles-des-personnes-morales-majic/,No,,No
Les coiffeurs sont des blagueurs,Coordonnées des enseignes de Coiffure comportant des jeux de mots cocasses dans leur appellation,https://www.data.gouv.fr/fr/datasets/coordonnees-des-enseignes-de-coiffure-comportant-des-jeux-de-mots-cocasses-dans-leur-appellation/#/community-reuses,Economie et entreprise,Visualisation,,https://www.data.gouv.fr/fr/reuses/les-coiffeurs-sont-des-blagueurs/,No,,Yes
Application LYZO - qualité de l'eau,Résultats du contrôle sanitaire de l'eau du robinet,https://www.data.gouv.fr/fr/datasets/resultats-du-controle-sanitaire-de-leau-du-robinet/,Santé,Application,,https://www.data.gouv.fr/fr/reuses/application-lyzo-qualite-de-leau/,No,,Yes
,Résultat des élections des représentants des étudiants au sein des Crous (par région et nombre de sièges par liste),https://www.data.gouv.fr/fr/datasets/resultat-des-elections-des-representants-des-etudiants-au-sein-des-crous-par-region-et-nombre-de-sieges-par-liste/,,,,,Yes,,Yes
,Données sur les installations radioélectriques de plus de 5 watts,https://www.data.gouv.fr/fr/datasets/donnees-sur-les-installations-radioelectriques-de-plus-de-5-watts-1/,,,,,Yes,,Yes
BODACC,BODACC,https://www.data.gouv.fr/fr/datasets/bodacc/,Economie et entreprise,Application,,https://www.data.gouv.fr/fr/reuses/bodacc/,No,,Yes
Brico NATINF,Liste des infractions en vigueur de la nomenclature NATINF,https://www.data.gouv.fr/fr/datasets/liste-des-infractions-en-vigueur-de-la-nomenclature-natinf/#/community-reuses,Droit et justice,Application,Benjamin Noel,https://www.data.gouv.fr/fr/reuses/brico-natinf/,No,,Yes
Cartographie des parcelles agricoles bio et non bio déclarées à la PAC,Parcelles en Agriculture Biologique (AB) déclarées à la PAC,https://www.data.gouv.fr/fr/datasets/parcelles-en-agriculture-biologique-ab-declarees-a-la-pac/#/community-reuses,Agriculture et alimentation,,,https://www.data.gouv.fr/fr/reuses/cartographie-des-parcelles-agricoles-bio-et-non-bio-declarees-a-la-pac/,No,,Yes
BeeGIS - Bee Geographic Information System,,,,,,https://www.data.gouv.fr/fr/reuses/beegis-bee-geographic-information-system/,No,,No
,DATAtourisme la base nationale des données publiques d'information touristique en Open Data,https://www.data.gouv.fr/fr/datasets/datatourisme-la-base-nationale-des-donnees-publiques-dinformation-touristique-en-open-data/?reuses_page=2#community-reuses,,,,,Yes,,Yes
,Lieux de vaccination contre la Covid-19,https://www.data.gouv.fr/fr/datasets/lieux-de-vaccination-contre-la-covid-19/#/community-reuses,,,,,No,,Yes
Comptoir-du-Libre.org,Socle interministériel de logiciels libres,https://www.data.gouv.fr/fr/datasets/socle-interministeriel-de-logiciels-libres/,Autres,,,https://www.data.gouv.fr/fr/reuses/comptoir-du-libre-org/,No,,Yes
Alimconfiance,Résultats des contrôles officiels sanitaires : dispositif d'information « Alim’confiance »,https://www.data.gouv.fr/fr/datasets/resultats-des-controles-officiels-sanitaires-dispositif-dinformation-alimconfiance/?reuses_page=2#community-reuses,Agriculture et alimentation,,,https://www.data.gouv.fr/fr/reuses/alimconfiance/,No,,Yes
Une étude des thèses de doctorat françaises sur le développement durable,Thèses soutenues en France depuis 1985,https://www.data.gouv.fr/fr/datasets/theses-soutenues-en-france-depuis-1985/,Education et recherche,,,https://www.data.gouv.fr/fr/reuses/une-etude-des-theses-de-doctorat-francaises-sur-le-developpement-durable/,No,,Yes
What makes a productive Ph.D. student?,Thèses soutenues en France depuis 1985,,,,,https://www.data.gouv.fr/fr/reuses/what-makes-a-productive-ph-d-student/,No,,No
Scanr,Thèses soutenues en France depuis 1985,https://www.data.gouv.fr/fr/datasets/theses-soutenues-en-france-depuis-1985/,Education et recherche,,,https://www.data.gouv.fr/fr/reuses/scanr/,No,,No
Thèses,Thèses soutenues en France depuis 1985,https://www.data.gouv.fr/fr/datasets/theses-soutenues-en-france-depuis-1985/,Education et recherche,,,https://www.data.gouv.fr/fr/reuses/theses/,No,,No
,OLD Indicateurs de l’activité épidémique: taux d'incidence de l'épidémie de COVID-19 par métropole,https://www.data.gouv.fr/fr/datasets/old-indicateurs-de-lactivite-epidemique-taux-dincidence-de-lepidemie-de-covid-19-par-metropole/,,,,,Yes,,Yes
Eco-Score : l'impact environnemental des produits alimentaires,Open Food Facts - Produits alimentaires : ingrédients nutrition labels,https://www.data.gouv.fr/fr/datasets/open-food-facts-produits-alimentaires-ingredients-nutrition-labels/#/community-reuses,,,,https://www.data.gouv.fr/fr/reuses/eco-score-limpact-environnemental-des-produits-alimentaires-1/,No,,Yes
,Données relatives à l’épidémie de COVID-19 en France : vue d’ensemble,https://www.data.gouv.fr/fr/datasets/donnees-relatives-a-lepidemie-de-covid-19-en-france-vue-densemble/#/community-reuses,,,,,Yes,,Yes
