Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
Où-vivre - Compétence de la police et de la gendarmerie,Compétence territoriale gendarmerie et police nationales,https://www.data.gouv.fr/fr/datasets/competence-territoriale-gendarmerie-et-police-nationales/#/community-reuses,Sécurité,Visualisation,Où vivre,https://www.data.gouv.fr/fr/reuses/ou-vivre-competence-de-la-police-et-de-la-gendarmerie/,No,,Yes
TerraVisu - Présidentielles 2022 (résultats du 1er tour),Election présidentielle des 10 et 24 avril 2022 - Résultats définitifs du 1er tour,https://www.data.gouv.fr/fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/#/community-reuses,Politique et vie publique,Application,Makina Corpus,https://www.data.gouv.fr/fr/reuses/terravisu-presidentielles-2022-resultats-du-1er-tour/,No,,Yes
Cartographie des résultats des élections,Election présidentielle des 10 et 24 avril 2022 - Résultats définitifs du 1er tour,https://www.data.gouv.fr/fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour/#/community-reuses,Politique et vie publique,Visualisation,Ian Offord,https://www.data.gouv.fr/fr/reuses/cartographie-des-resultats-des-elections/,No,,No
Trouver le DPO d'une structure,Organismes ayant désigné un(e) délégué(e) à la protection des données (DPD/DPO),http://www.data.gouv.fr/fr/datasets/organismes-ayant-designe-un-e-delegue-e-a-la-protection-des-donnees-dpd-dpo/,Politique et vie publique,Application,Laurent de Cavel,https://www.data.gouv.fr/fr/reuses/trouver-le-dpo-dune-structure/,No,,Yes
,Répertoire national des certifications professionnelles et répertoire spécifique,https://www.data.gouv.fr/fr/datasets/repertoire-national-des-certifications-professionnelles-et-repertoire-specifique/#/community-reuses,,,,,Yes,,Yes
DiagOriente,Répertoire Opérationnel des Métiers et des Emplois (ROME),http://www.data.gouv.fr/fr/datasets/repertoire-operationnel-des-metiers-et-des-emplois-rome/,Emploi et formation,Application,DiagOriente,https://www.data.gouv.fr/fr/reuses/identification-des-competences/,No,,Yes
Annuaire des copropriétés,Registre national d'immatriculation des copropriétés,https://www.data.gouv.fr/fr/datasets/registre-national-dimmatriculation-des-coproprietes/#/community-reuses,Logement et urbanisme,Application,Anah,https://www.registre-coproprietes.gouv.fr/annuaire,No,,Yes
Explorateur de biens vendus - DVF,"Base Adresse Nationale, Fichier FANTOIR des voies et lieux dits, Plan Cadastral Informatisé",http://www.data.gouv.fr/fr/datasets/plan-cadastral-informatise/,Logement et urbanisme,Application,Meilleurs Agents,https://www.data.gouv.fr/fr/reuses/explorateur-de-biens-vendus-dvf/,No,,No
DVF,Plan Cadastral Informatisé,http://www.data.gouv.fr/fr/datasets/plan-cadastral-informatise/,Logement et urbanisme,Application,DINUM,https://app.dvf.etalab.gouv.fr/,No,,Yes
Plan cadastral français,Plan Cadastral Informatisé,http://www.data.gouv.fr/fr/datasets/plan-cadastral-informatise/,Logement et urbanisme,Application,Koumoul,https://www.data.gouv.fr/fr/reuses/plan-cadastral-francais/,No,,No
,Fondations Reconnues d'Utilité Publique,http://www.data.gouv.fr/fr/datasets/fondations-reconnues-d-utilite-publique/,,,,,Yes,,Yes
Site cartographique - Mon Réseau Mobile,Mon Réseau Mobile,http://www.data.gouv.fr/fr/datasets/mon-reseau-mobile/,Aménagement du territoire,Application,Arcep,https://www.data.gouv.fr/fr/reuses/site-cartographique-mon-reseau-mobile/,No,,Yes
,Stationnement - Place en zone bleue,https://www.data.gouv.fr/fr/datasets/stationnement-place-en-zone-bleue-1/,,,,,Yes,,Yes
,Police municipale - Effectifs par commune,https://www.data.gouv.fr/fr/datasets/police-municipale-effectifs-par-commune/#/community-reuses,,,,,Yes,,Yes
,ACCO : Accords d'entreprise,https://www.data.gouv.fr/fr/datasets/acco-accords-dentreprise/#/community-reuses,,,,,Yes,,No
